food,uses,our_kcal,usda_kcal,delta_pct,our_protein,usda_protein,our_carbs,usda_carbs,our_fat,usda_fat,usda_match,data_type
"cumin",167,375,375.0,0.0,18,17.8,44,44.2,22,22.3,"Spices, cumin seed",SR Legacy
"olive oil",103,884,884.0,0.0,0,0.0,0,0.0,100,100.0,"Oil, olive, salad or cooking",SR Legacy
"garlic",96,149,143.0,-4.0,6.4,6.6,33,28.2,0.5,0.4,"Garlic, raw",Foundation
"tahini",94,595,592.0,-0.5,17,17.4,21,21.5,54,53.0,"Seeds, sesame butter, tahini, type of kernels unspecified",SR Legacy
"avocado",91,160,167.0,4.4,2,2.0,8.5,8.6,15,15.4,"Avocados, raw, California",SR Legacy
"egg whites",77,52,52.0,0.0,11,10.9,0.7,0.7,0.2,0.2,"Egg, white, raw, fresh",SR Legacy
"baby spinach",77,23,23.0,0.0,2.9,2.9,3.6,3.6,0.4,0.4,"Spinach, raw",SR Legacy
"grated cheddar",77,402,408.0,1.5,25,23.3,1.3,2.4,33,34.0,"Cheese, cheddar",Foundation
"crumbled feta",76,264,265.0,0.4,14,14.2,4.1,3.9,21,21.5,"Cheese, feta",SR Legacy
"mixed nuts",76,607,594.0,-2.1,20,17.3,21,25.4,54,51.4,"Nuts, mixed nuts, dry roasted, with peanuts, with salt added",SR Legacy
"cherry tomatoes",75,18,18.0,0.0,0.9,0.9,3.9,3.9,0.2,0.2,"Tomatoes, red, ripe, raw, year round average",SR Legacy
"smoked paprika",75,282,282.0,0.0,14,14.1,54,54.0,13,12.9,"Spices, paprika",SR Legacy
"kale",73,35,35.0,0.0,2.9,2.9,4.4,4.4,1.5,1.5,"Kale, raw",SR Legacy
"lime",72,30,30.0,0.0,0.7,0.7,11,10.5,0.2,0.2,"Limes, raw",SR Legacy
"chia seeds",70,486,486.0,0.0,17,16.5,42,42.1,31,30.7,"Seeds, chia seeds, dried",SR Legacy
"lemon juice",70,22,22.0,0.0,0.4,0.3,6.9,6.9,0.2,0.2,"Lemon juice, raw",SR Legacy
"oregano",70,265,265.0,0.0,9,9.0,69,68.9,4.3,4.3,"Spices, oregano, dried",SR Legacy
"wholegrain bread",63,247,252.0,2.0,13,12.4,41,42.7,3.4,3.5,"Bread, whole-wheat, commercially prepared",SR Legacy
"cinnamon",63,247,253.0,2.4,4,7.0,81,44.4,1.2,5.3,"Bread, cinnamon",SR Legacy
"salmon fillet",61,208,208.0,0.0,20,20.4,0,0.0,13,13.4,"Fish, salmon, Atlantic, farmed, raw",SR Legacy
"basil",61,23,23.0,0.0,3.2,3.1,2.7,2.6,0.6,0.6,"Basil, fresh",SR Legacy
"quinoa",59,120,120.0,0.0,4.4,4.4,21,21.3,1.9,1.9,"Quinoa, cooked",SR Legacy
"red onion",58,40,44.0,10.0,1.1,0.9,9.3,9.9,0.1,0.1,"Onions, red, raw",Foundation
"mixed peppers",57,26,26.0,0.0,1,1.0,6,6.0,0.3,0.3,"Peppers, sweet, red, raw",SR Legacy
"firm tofu",56,144,144.0,0.0,17,17.3,2.8,2.8,8.7,8.7,"Tofu, raw, firm, prepared with calcium sulfate",SR Legacy
"whole eggs",55,143,143.0,0.0,12.6,12.6,0.7,0.7,9.5,9.5,"Egg, whole, raw, fresh",SR Legacy
"soba noodles",53,99,99.0,0.0,5.1,5.1,21,21.4,0.1,0.1,"Noodles, japanese, soba, cooked",SR Legacy
"tenderstem broccoli",53,31,31.0,0.0,2.6,2.6,6.3,6.3,0.3,0.3,"Broccoli, raw",Foundation
"mixed salad leaves",53,17,15.0,-11.8,1.4,1.4,2.9,2.9,0.2,0.1,"Lettuce, green leaf, raw",SR Legacy
"white potato",52,77,77.0,0.0,2,2.0,17,17.5,0.1,0.1,"Potatoes, flesh and skin, raw",SR Legacy
"green beans",51,31,33.0,6.5,1.8,2.3,7,6.4,0.1,0.5,"Beans, snap, green, microwaved",SR Legacy
"asparagus tips",49,20,20.0,0.0,2.2,2.2,3.9,3.9,0.1,0.1,"Asparagus, raw",SR Legacy
"0% greek yogurt",48,59,61.0,3.4,10.3,10.3,3.6,3.6,0.4,0.4,"Yogurt, Greek, plain, nonfat",Foundation
"chestnut mushrooms",47,22,22.0,0.0,3.1,2.5,3.3,4.3,0.3,0.1,"Mushrooms, brown, italian, or crimini, raw",SR Legacy
"white basmati rice",46,130,123.0,-5.4,2.7,2.9,28,26.0,0.3,0.4,"Rice, white, long-grain, parboiled, enriched, cooked",SR Legacy
"turkey breast",45,114,114.0,0.0,23.7,23.7,0.1,0.1,1.5,1.5,"Turkey, whole, breast, meat only, raw",SR Legacy
"butter beans",42,79,79.0,0.0,4.9,4.9,14.9,14.9,0.2,0.2,"Lima beans, large, mature seeds, canned",SR Legacy
"bulgur wheat",42,83,83.0,0.0,3.1,3.1,19,18.6,0.2,0.2,"Bulgur, cooked",SR Legacy
"cottage cheese",40,84,84.0,0.0,11,11.0,4.3,4.3,2.3,2.3,"Cheese, cottage, lowfat, 2% milkfat",Foundation
"couscous",38,112,112.0,0.0,3.8,3.8,23,23.2,0.2,0.2,"Couscous, cooked",SR Legacy
"rye bread",37,259,259.0,0.0,8.5,8.5,48,48.3,3.3,3.3,"Bread, rye",SR Legacy
"wholewheat tortilla wrap",37,293,310.0,5.8,9,9.8,47,45.9,7,9.8,"Tortillas, ready-to-bake or -fry, whole wheat",SR Legacy
"broccoli florets",37,34,31.0,-8.8,2.8,2.6,6.6,6.3,0.4,0.3,"Broccoli, raw",Foundation
"edamame",36,121,121.0,0.0,12,11.9,8.9,8.9,5.2,5.2,"Edamame, frozen, prepared",SR Legacy
"haddock fillet",34,74,74.0,0.0,16.3,16.3,0,0.0,0.5,0.5,"Fish, haddock, raw",Foundation
"lentils",32,116,114.0,-1.7,9,9.0,20,19.5,0.4,0.4,"Lentils, mature seeds, cooked, boiled, with salt",SR Legacy
"wholewheat pasta",32,159,159.0,0.0,5.8,5.8,31.5,31.5,1.5,1.5,"Pasta, whole grain, 51% whole wheat, remaining unenriched semolina, cooked",SR Legacy
"cod fillet",31,82,82.0,0.0,18,17.8,0,0.0,0.7,0.7,"Fish, cod, Atlantic, raw",SR Legacy
"mackerel",31,205,205.0,0.0,19,18.6,0,0.0,14,13.9,"Fish, mackerel, Atlantic, raw",SR Legacy
"king prawns",27,85,85.0,0.0,20.1,20.1,0,0.0,0.5,0.5,"Crustaceans, shrimp, raw",SR Legacy
"tuna steak",26,109,109.0,0.0,24.4,24.4,0,0.0,0.5,0.5,"Fish, tuna, fresh, yellowfin, raw",SR Legacy
"black beans",24,132,132.0,0.0,8.9,8.9,24,23.7,0.5,0.5,"Beans, black, mature seeds, cooked, boiled, with salt",SR Legacy
"tempeh",23,192,192.0,0.0,20,20.3,7.6,7.6,11,10.8,"Tempeh",SR Legacy
"chickpeas",23,164,164.0,0.0,8.9,8.9,27,27.4,2.6,2.6,"Chickpeas (garbanzo beans, bengal gram), mature seeds, cooked, boiled, with salt",SR Legacy
"rice",22,130,123.0,-5.4,2.7,2.9,28,26.0,0.3,0.4,"Rice, white, long-grain, parboiled, enriched, cooked",SR Legacy
"parmesan",19,431,392.0,-9.0,38,35.8,4.1,3.2,29,25.0,"Cheese, parmesan, hard",SR Legacy
"full-fat cream cheese",19,342,350.0,2.3,6,6.2,4.1,5.5,34,34.4,"Cheese, cream",SR Legacy
"olives",17,81,81.0,0.0,1,1.0,5.6,5.6,6.9,6.9,"Olives, ripe, canned (jumbo-super colossal)",SR Legacy
"unsalted butter",15,717,717.0,0.0,0.9,0.8,0.1,0.1,81,81.1,"Butter, without salt",SR Legacy
"coconut oil",15,892,892.0,0.0,0,0.0,0,0.0,100,99.1,"Oil, coconut",SR Legacy
"soya protein",14,375,335.0,-10.7,88,88.3,3,0.0,1.5,3.4,"Soy protein isolate",SR Legacy
"halloumi",10,321,295.0,-8.1,22,7.1,2.2,3.5,25,28.6,"Cheese spread, cream cheese base",SR Legacy
"onion",10,40,40.0,0.0,1.1,1.1,9.3,9.3,0.1,0.1,"Onions, raw",SR Legacy
"banana",10,89,89.0,0.0,1.1,1.1,23,22.8,0.3,0.3,"Bananas, raw",SR Legacy
"sesame oil",9,884,884.0,0.0,0,0.0,0,0.0,100,100.0,"Oil, sesame, salad or cooking",SR Legacy
